TaxID,ScientificName,ParentTaxID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
113634,Fusarium_oxysporum_f._sp._gladioli,5507,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,
113636,Populus_tremula,3689,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus tremula,
113644,Calanus_glacialis,6836,Metazoa,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus glacialis,
1136490,Sphaerulina_populicola_P02.02b,215467,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Sphaerulina,Sphaerulina populicola,
1136865,Rhytidhysteron_rufulum_CBS_306.38,37885,Fungi,Ascomycota,Dothideomycetes,Hysteriales,Hysteriaceae,Rhytidhysteron,Rhytidhysteron rufulum,
1136866,Hysterium_pulicare_CBS_123377,100027,Fungi,Ascomycota,Dothideomycetes,Hysteriales,Hysteriaceae,Hysterium,Hysterium pulicare,
1136883,Torulaspora_microellipsoides,4948,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora microellipsoides,
1137049,Cercopithecus_roloway,9533,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus roloway,
1137138,Pleurotus_ostreatus_PC15,5322,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus ostreatus,
1137211,Aspergillus_luchuensis_CBS_106.47,1069201,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus luchuensis,
1137468,Hypericum_perforatum_subsp._chinense,65561,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Hypericaceae,Hypericum,Hypericum perforatum,Hypericum perforatum subsp. chinense
1137549,Stipagrostis_hirtigluma_subsp._patula,348281,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Stipagrostis,Stipagrostis hirtigluma,Stipagrostis hirtigluma subsp. patula
1138289,Platyallabes_tihoni,1138288,Metazoa,Chordata,Actinopteri,Siluriformes,Clariidae,Platyallabes,Platyallabes tihoni,
1138352,Euphorbia_neoarborescens,213006,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia neoarborescens,
1138471,Boreochiton_ruber,291896,Metazoa,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Boreochiton,Boreochiton ruber,
1139033,Austrophorocera_sp._Wood05,2633651,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Austrophorocera,Austrophorocera sp. Wood05,
1139449,Leschenaultia_sp._Wood15,2611197,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Leschenaultia,Leschenaultia sp. Wood15,
1139450,Leskia_sp._Janzen27,2611199,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Leskia,Leskia sp. Janzen27,
1140371,Dendrophyllia_cribrosa,130058,Metazoa,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Dendrophyllia,Dendrophyllia cribrosa,
1140402,Daedaleopsis_nitida,40432,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Daedaleopsis,Daedaleopsis nitida,
